image_id,model,language,Ethnic_Group,Rating_1to5,Accuracy_1to5,Completeness_1to5,Cultural_Depth_1to5,origin,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Dong_0371,llama-3.2-vision-11b,zh,Dong,2,3,4,2,western,Dong,281,248,0.4314516129032258,0.13541666666666666,13,0.0,0,4,0,0.0,
Yi_0164,llama-3.2-vision-11b,en,Yi,4,4,5,4,western,Yi,3102,477,0.4192872117400419,0.1797752808988764,16,0.0,0,4,0,0.0,
Li_0540,qwen2-vl-7b,en,Li,3,4,5,3,chinese,Li,2541,392,0.41581632653061223,0.15730337078651685,14,0.0,0,4,0,0.0,
Yi_0183,claude-haiku-4.5,en,Yi,3,3,5,3,western,Yi,2960,346,0.6502890173410405,0.16853932584269662,15,0.0,0,4,0,0.0,
Miao_0357,claude-haiku-4.5,en,Miao,4,4,5,4,western,Miao,2776,346,0.6473988439306358,0.1797752808988764,16,0.0,0,3,1,0.05,
Miao_0185,qwen2.5-vl-7b,zh,Miao,4,4,5,3,chinese,Miao,701,604,0.4056291390728477,0.1875,18,0.0,0,4,0,0.0,
Li_0084,llama-3.2-vision-11b,en,Li,4,4,5,4,western,Li,2914,456,0.4100877192982456,0.1797752808988764,16,0.0,0,4,0,0.0,
Yi_0082,qwen2.5-vl-7b,en,Yi,4,4,5,3,chinese,Yi,2771,402,0.5497512437810945,0.14606741573033707,13,0.0,0,4,0,0.0,
Miao_0589,qwen2.5-vl-7b,zh,Miao,3,4,5,3,chinese,Miao,642,555,0.4144144144144144,0.15625,15,0.0,0,4,0,0.0,
Dong_0276,gpt-4o-mini,zh,Dong,4,4,5,3,western,Dong,653,539,0.45083487940630795,0.11458333333333333,11,0.0,0,4,0,0.0,
Miao_0537,qwen2-vl-7b,zh,Miao,4,3,5,4,chinese,Miao,917,799,0.29411764705882354,0.17708333333333334,17,0.0,0,4,0,0.0,
Yi_0491,gpt-4o-mini,zh,Yi,4,4,5,4,western,Yi,637,548,0.4051094890510949,0.11458333333333333,11,0.0,0,4,0,0.0,
Dong_0491,gpt-4o-mini,en,Dong,4,4,5,4,western,Dong,2974,441,0.4988662131519274,0.1348314606741573,12,0.0,0,4,0,0.0,
Miao_0260,qwen2.5-vl-7b,en,Miao,5,4,5,4,chinese,Miao,3518,529,0.45368620037807184,0.14606741573033707,13,0.0,0,3,0,0.0,
Tibetan_0589,llama-3.2-vision-11b,en,Tibetan,3,2,5,3,western,Tibetan,3025,494,0.3765182186234818,0.15730337078651685,14,0.125,1,8,0,0.0,turquoise
Tibetan_0219,claude-haiku-4.5,zh,Tibetan,3,2,5,3,western,Tibetan,1151,648,0.4444444444444444,0.23958333333333334,23,0.0,0,8,0,0.0,
Yi_0177,qwen2.5-vl-7b,zh,Yi,3,4,5,2,chinese,Yi,766,662,0.44108761329305135,0.09375,9,0.0,0,4,0,0.0,
Miao_0427,gpt-4o-mini,zh,Miao,4,4,5,3,western,Miao,764,668,0.3562874251497006,0.11458333333333333,11,0.0,0,4,0,0.0,
Yi_0260,qwen2.5-vl-7b,en,Yi,5,4,5,4,chinese,Yi,3227,499,0.503006012024048,0.16853932584269662,15,0.0,0,4,0,0.0,
Tibetan_0424,llama-3.2-vision-11b,zh,Tibetan,4,4,5,4,western,Tibetan,677,570,0.2929824561403509,0.13541666666666666,13,0.0,0,8,0,0.0,
Dong_0571,claude-haiku-4.5,en,Dong,5,5,5,5,western,Dong,4028,490,0.610204081632653,0.24719101123595505,22,0.0,0,4,0,0.0,
Tibetan_0235,qwen2-vl-7b,en,Tibetan,4,4,5,4,chinese,Tibetan,3127,480,0.4375,0.1348314606741573,12,0.0,0,8,0,0.0,
