image_id,model,origin,language,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Yi_0236,qwen2.5-vl-7b,chinese,en,Yi,3421,506,0.4683794466403162,0.19101123595505617,17,0.0,0,4,0,0.0,
Yi_0547,qwen2.5-vl-7b,chinese,en,Yi,3515,513,0.5165692007797271,0.20224719101123595,18,0.0,0,4,0,0.0,
Miao_0287,qwen2.5-vl-7b,chinese,en,Miao,3403,511,0.4774951076320939,0.14606741573033707,13,0.0,0,3,0,0.0,
Tibetan_0210,qwen2.5-vl-7b,chinese,en,Tibetan,3449,529,0.5293005671077504,0.19101123595505617,17,0.0,0,8,0,0.0,
Dong_0313,qwen2.5-vl-7b,chinese,en,Dong,3255,475,0.5221052631578947,0.19101123595505617,17,0.0,0,4,0,0.0,
Yi_0177,qwen2.5-vl-7b,chinese,en,Yi,3326,502,0.49800796812749004,0.20224719101123595,18,0.0,0,4,0,0.0,
Yi_0012,qwen2.5-vl-7b,chinese,en,Yi,3883,582,0.4484536082474227,0.1797752808988764,16,0.0,0,4,0,0.0,
Miao_0119,qwen2.5-vl-7b,chinese,en,Miao,3552,527,0.4648956356736243,0.1348314606741573,12,0.0,0,3,0,0.0,
Li_0420,qwen2.5-vl-7b,chinese,en,Li,3239,483,0.5010351966873706,0.15730337078651685,14,0.0,0,4,0,0.0,
Tibetan_0193,qwen2.5-vl-7b,chinese,en,Tibetan,2907,422,0.5639810426540285,0.10112359550561797,9,0.0,0,8,0,0.0,
Yi_0538,qwen2.5-vl-7b,chinese,en,Yi,4002,595,0.49411764705882355,0.19101123595505617,17,0.0,0,4,0,0.0,
Tibetan_0133,qwen2.5-vl-7b,chinese,en,Tibetan,3654,539,0.48608534322820035,0.20224719101123595,18,0.0,0,8,0,0.0,
Yi_0365,qwen2.5-vl-7b,chinese,en,Yi,3065,455,0.5208791208791209,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0375,qwen2.5-vl-7b,chinese,en,Li,3773,549,0.48633879781420764,0.16853932584269662,15,0.0,0,4,0,0.0,
Dong_0566,qwen2.5-vl-7b,chinese,en,Dong,3494,509,0.5363457760314342,0.23595505617977527,21,0.0,0,4,0,0.0,
Tibetan_0258,qwen2.5-vl-7b,chinese,en,Tibetan,3802,572,0.4562937062937063,0.20224719101123595,18,0.0,0,8,0,0.0,
Yi_0350,qwen2.5-vl-7b,chinese,en,Yi,2881,420,0.5357142857142857,0.15730337078651685,14,0.0,0,4,0,0.0,
Dong_0305,qwen2.5-vl-7b,chinese,en,Dong,3498,524,0.517175572519084,0.1348314606741573,12,0.0,0,4,0,0.0,
Miao_0350,qwen2.5-vl-7b,chinese,en,Miao,4327,626,0.4728434504792332,0.14606741573033707,13,0.0,0,3,0,0.0,
Dong_0537,qwen2.5-vl-7b,chinese,en,Dong,3663,541,0.4676524953789279,0.16853932584269662,15,0.0,0,4,0,0.0,
Tibetan_0074,qwen2.5-vl-7b,chinese,en,Tibetan,3884,579,0.47322970639032813,0.15730337078651685,14,0.125,1,8,0,0.0,turquoise
Dong_0301,qwen2.5-vl-7b,chinese,en,Dong,3225,478,0.50418410041841,0.1348314606741573,12,0.0,0,4,0,0.0,
Yi_0040,qwen2.5-vl-7b,chinese,en,Yi,3713,533,0.4803001876172608,0.20224719101123595,18,0.0,0,4,0,0.0,
Li_0040,qwen2.5-vl-7b,chinese,en,Li,3447,517,0.5029013539651838,0.15730337078651685,14,0.0,0,4,0,0.0,
Dong_0258,qwen2.5-vl-7b,chinese,en,Dong,3543,536,0.47388059701492535,0.19101123595505617,17,0.0,0,4,0,0.0,
Dong_0239,qwen2.5-vl-7b,chinese,en,Dong,3224,492,0.5365853658536586,0.14606741573033707,13,0.0,0,4,0,0.0,
Dong_0111,qwen2.5-vl-7b,chinese,en,Dong,3119,458,0.5305676855895196,0.1348314606741573,12,0.0,0,4,0,0.0,
Dong_0119,qwen2.5-vl-7b,chinese,en,Dong,3716,540,0.4777777777777778,0.2247191011235955,20,0.0,0,4,1,0.05263157894736842,
Yi_0235,qwen2.5-vl-7b,chinese,en,Yi,3323,493,0.5233265720081136,0.1348314606741573,12,0.0,0,4,0,0.0,
Dong_0536,qwen2.5-vl-7b,chinese,en,Dong,3547,522,0.4789272030651341,0.20224719101123595,18,0.0,0,4,0,0.0,
Dong_0424,qwen2.5-vl-7b,chinese,en,Dong,3543,539,0.46382189239332094,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0599,qwen2.5-vl-7b,chinese,en,Li,3516,505,0.504950495049505,0.20224719101123595,18,0.0,0,4,0,0.0,
Li_0164,qwen2.5-vl-7b,chinese,en,Li,3703,550,0.4890909090909091,0.1348314606741573,12,0.0,0,4,0,0.0,
Yi_0056,qwen2.5-vl-7b,chinese,en,Yi,3503,504,0.5,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0301,qwen2.5-vl-7b,chinese,en,Li,3186,474,0.5063291139240507,0.21348314606741572,19,0.0,0,4,0,0.0,
Dong_0357,qwen2.5-vl-7b,chinese,en,Dong,3307,488,0.5348360655737705,0.20224719101123595,18,0.0,0,4,0,0.0,
Li_0064,qwen2.5-vl-7b,chinese,en,Li,2971,462,0.5303030303030303,0.14606741573033707,13,0.0,0,4,0,0.0,
Dong_0185,qwen2.5-vl-7b,chinese,en,Dong,3480,525,0.4780952380952381,0.15730337078651685,14,0.0,0,4,0,0.0,
Miao_0182,qwen2.5-vl-7b,chinese,en,Miao,3442,517,0.5067698259187621,0.14606741573033707,13,0.0,0,3,0,0.0,
Dong_0560,qwen2.5-vl-7b,chinese,en,Dong,3595,535,0.5065420560747663,0.19101123595505617,17,0.0,0,4,0,0.0,
Yi_0260,qwen2.5-vl-7b,chinese,en,Yi,3227,499,0.503006012024048,0.16853932584269662,15,0.0,0,4,0,0.0,
Miao_0330,qwen2.5-vl-7b,chinese,en,Miao,4251,628,0.4697452229299363,0.15730337078651685,14,0.0,0,3,0,0.0,
Tibetan_0597,qwen2.5-vl-7b,chinese,en,Tibetan,4328,626,0.46645367412140576,0.16853932584269662,15,0.25,2,8,0,0.0,turquoise;coral
Yi_0362,qwen2.5-vl-7b,chinese,en,Yi,3554,517,0.48549323017408125,0.12359550561797752,11,0.0,0,4,0,0.0,
Dong_0433,qwen2.5-vl-7b,chinese,en,Dong,3493,525,0.4723809523809524,0.16853932584269662,15,0.0,0,4,0,0.0,
Dong_0276,qwen2.5-vl-7b,chinese,en,Dong,3570,531,0.5178907721280602,0.15730337078651685,14,0.0,0,4,0,0.0,
Yi_0249,qwen2.5-vl-7b,chinese,en,Yi,2864,423,0.5460992907801419,0.1797752808988764,16,0.0,0,4,0,0.0,
Dong_0474,qwen2.5-vl-7b,chinese,en,Dong,3687,554,0.48736462093862815,0.16853932584269662,15,0.0,0,4,0,0.0,
Miao_0442,qwen2.5-vl-7b,chinese,en,Miao,3367,484,0.5,0.15730337078651685,14,0.0,0,3,0,0.0,
Tibetan_0547,qwen2.5-vl-7b,chinese,en,Tibetan,3725,550,0.52,0.16853932584269662,15,0.25,2,8,0,0.0,turquoise;coral
Tibetan_0102,qwen2.5-vl-7b,chinese,en,Tibetan,3587,521,0.5047984644913628,0.1797752808988764,16,0.125,1,8,0,0.0,turquoise
Tibetan_0030,qwen2.5-vl-7b,chinese,en,Tibetan,3593,555,0.5045045045045045,0.1348314606741573,12,0.0,0,8,0,0.0,
Miao_0239,qwen2.5-vl-7b,chinese,en,Miao,3807,571,0.47810858143607704,0.1797752808988764,16,0.0,0,3,0,0.0,
Miao_0236,qwen2.5-vl-7b,chinese,en,Miao,3712,551,0.4664246823956443,0.14606741573033707,13,0.0,0,3,0,0.0,
Tibetan_0213,qwen2.5-vl-7b,chinese,en,Tibetan,3164,464,0.5452586206896551,0.1348314606741573,12,0.0,0,8,0,0.0,
Tibetan_0182,qwen2.5-vl-7b,chinese,en,Tibetan,3113,457,0.5514223194748359,0.16853932584269662,15,0.0,0,8,0,0.0,
Miao_0082,qwen2.5-vl-7b,chinese,en,Miao,3095,446,0.5201793721973094,0.1797752808988764,16,0.0,0,3,0,0.0,
Dong_0317,qwen2.5-vl-7b,chinese,en,Dong,3405,514,0.519455252918288,0.16853932584269662,15,0.0,0,4,0,0.0,
